"reviewid","sentiment"
1,0.118263995741532
6,0.0900297894342749
7,0.127188530768313
8,0.100183905920397
10,0.133938723458596
11,0.255714879315258
12,0.110741081912833
15,0.0699903739687879
16,0.257686956592043
17,0.106064955645063
18,0.106644130872068
19,0.153414935391293
20,-0.0570086053478835
21,0.0988961434075953
22,-0.0337163394736261
23,0.0823845279434095
24,0.154132895204279
25,-0.0212396508837472
31,0.237820687049177
32,0.030340205542349
33,0.173495059237677
36,0.0591366406819
39,0.119516161576741
40,-0.0854155354784387
41,-0.0523954080517221
42,0.0493570322435281
43,0.0414741075038368
44,-0.022430419300604
47,0.0762780293174287
50,0.10583904375775
51,0.0234216370153132
53,0.0164968925835225
55,0.0571540682020745
56,0.0197606733798121
57,0.0464566343866513
58,0.0947965213913971
62,0.0013299118717499
63,-0.0314979714604547
64,0.048541763289195
65,0.17960947999337
66,-0.0314061349014384
67,-0.00167518336256533
68,0.0928427316814222
74,0.178434873431044
79,0.116050487068538
80,0.0873017012078345
81,0.0876839461361449
82,0.0852461320689887
83,0.0233800342516111
85,-0.0940706596011993
86,0.0953532546315195
87,0.197009746303414
89,-0.0340278022853388
90,0.133621275433782
91,0.11356266424708
92,0.125389324349755
95,0.089716348911789
96,0.0477817703024475
97,0.0743105455780333
99,0.105897871560075
100,0.0716828474730793
101,0.0966467599963901
102,0.100792310692107
103,0.100083974427647
105,0.0925054263765637
106,0.0711299540108767
110,0.0783843844054376
113,0.185789235465729
114,0.123382359783528
115,0.0997013504998238
116,0.134645845348083
117,0.0494625567525908
118,-0.0241260052021519
119,0.0906665783255088
128,0.0566983033898085
129,0.18196750536176
130,0.0102015276774057
132,-0.0396747973444168
134,0.14109574957689
135,0.0411074996722862
139,0.086808790782612
141,0.14988614517708
142,-0.0242470368656049
143,0.048654307456983
144,0.103314514696571
145,0.0790452013291749
146,0.0315309340918803
148,0.106114348020089
150,-0.0100577895043469
151,0.0665575218364145
152,0.0958135514342283
154,0.087627038643484
155,0.265679889180502
156,0.0373335558224869
157,0.23912480219833
159,0.105895160672337
161,0.108506097031338
164,-0.0264397306269277
167,0.0259951183490985
168,0.0227664662491561
171,-0.0183793174629808
173,0.108754151193234
174,0.0795091562082344
176,0.0389483860207455
177,-0.022934594883871
178,0.147141304796543
179,-0.0255702469828896
180,0.094892880847923
182,0.0309123683614067
183,0.0748345289074793
